trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9194312560951247}",35,0,-171.08068682115476,"{0: 19, 1: 3, 2: 10, 3: 2, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-189.7339955171022,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
44,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-42.10279691060422,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,16,7.506921544749112,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,0,-315.3096644765439,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 5}",0
47,False,"{'a': 0.002, 'e': 0.910282762240767}",35,0,-196.1724253479579,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,8,-96.91412157645496,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
49,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-225.57184983771847,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
50,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,0,-162.39223380560884,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-151.96630954783575,"{0: 15, 1: 0, 2: 5, 3: 4, 4: 1}",0
52,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-81.6837881315408,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-47.53187609092805,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-116.90540577147445,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,0,-58.07114707500102,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,0,-52.580265099966674,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-188.1201048501207,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-103.47562624145415,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-104.90385614113517,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8869204367171575}",35,0,-190.25214222872088,"{0: 17, 1: 8, 2: 7, 3: 1, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-128.59048450619437,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-94.93975376757075,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-151.4755289195141,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.8798533791446438}",25,0,-126.47814358407987,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-117.31414047378311,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,8,-101.80535600259859,"{0: 5, 1: 2, 2: 2, 3: 2, 4: 1}",1
